,text_a,label
10,"This would be a disaster for our country’s economic recovery. America cannot afford Elizabeth Warren’s radical tax-and-spend agenda. https://t.co/ReEGV6CoMR https://t.co/JYhmGlefXq QUOTE @kylegriffin1: Elizabeth Warren wants to be Joe Biden's Treasury secretary and will make her case for it if he wins next week, according to three Democratic officials who have spoken with her inner circle.

""She wants it,"" two of them said matter-of-factly. https://t.co/guBFJkv99Z",2
11,"If you care about protecting the innocent from abuse and trafficking, read this. This is what happens when you defund the police. 
 https://t.co/zAhOajcnph",2
12,"RT @juliaoftoronto: There's no clinically validated test to know whether Trump is still #covid19 contagious

He should still be isolating at least to Sat., infectious disease docs told me

Patients like him- who had serious illness- are sometimes asked to isolate longer

https://t.co/PUiU94hifD",2
13,"Putting these unpaid young athletes at risk to make a buck is wrong, period. “Here we are now, entertain us...” https://t.co/7nCzD47hbl QUOTE @WSJ: The Big Ten is finally kicking off its 2020 football season—35 days after reversing course under heated criticism and presidential concern https://t.co/mH5LqnRLuB",2
14,"In this pandemic, millions are relying on their medicine and Social Security checks to arrive on time.

Trump’s attack on the Post Office is truly a matter of life and death.

We will stand up, fight back, and protect our Postal Service. https://t.co/gA2qtfV3JG",2
15,"The federal government should stop harming the institution of marriage. Marriage was much better in America before the federal government started creating incentives to undermine it. We need to focus on ending those federal disincentives to marriage.
https://t.co/3OWDzULZae",2
16,"Honestly, how many have to get sick, how many have to die to get the seriousness of this disease into their heads?

7.6 million Americans infected, 214,000 killed. https://t.co/m0J23Ntuan QUOTE @realDonaldTrump: Will be in Sanford, Florida on Monday for a very BIG RALLY! https://t.co/TTOlHJT8kr",2
17,Big Tech’s censorship struck again this week after @CBPMarkMorgan tweeted the TRUTH about how the border wall is protecting Americans from deadly drugs and violent gang members. They don’t want you to know the facts - they’d rather create their own. https://t.co/mV1sAvOazg,2
18,Only since @realDonaldTrump took office has stabilizing the Middle East been deemed a “distraction.” How dare @SpeakerPelosi even mention those with #COVID19 when she REFUSES to pass legislation giving them additional relief. https://t.co/onWklRzwEB,2
19,"For four years the country the outgoing administration denied the climate crisis and lined the pockets of polluters. That will stop, beginning with reasserting our global leadership by returning to the Paris Agreement, but we have a lot more work to do. https://t.co/8ETZTbGHDx",2
20,"This is disgusting and should be condemned by everyone - no matter your political party. Remember, these are the same officers who would take a bullet for you if the situation required. They deserve our respect! https://t.co/72jeUiEjLk",2
21,"In addition to all the lies and falsehood from other speakers, CNN counted Trump’s false, exaggerated and misleading claims from the RNC. The lies range from saying he took on Big Pharma to saying he passed the Veteran’s Choice program:
https://t.co/CylI3rdHtn",2
22,"If an all-Democrat Congress and White House rule America, this is just one of the many consequences we’ll face. If this doesn’t scare you, it should. I’ll say it again: the decisions made this November will decide the future of our country as we know it. https://t.co/y0OVjB3JVd",2
23,"The Department of Justice has made it clear – we will not tolerate racism in our education system.
https://t.co/ZbOoC6mVRF",2
24,"This is gross.

From @netflix execs all the way to the parents who allowed their children to be part of this – there were actually ADULTS in the room who somehow thought this was appropriate.  This is truly gross.

https://t.co/8Zzp7Ktq7M",2
25,"Postmaster General DeJoy refused to take responsibility at today's @OversightDems hearing. We must stop and rollback his deliberate sabotage to #SaveTheUSPS. https://t.co/1g9AOehCeg QUOTE @cspan: .@repjimcooper: ""Is your backup plan to be pardoned, like Roger Stone?""

@USPS Postmaster General: ""I have no comment on that. It's not worth a comment.""

Full video here: https://t.co/FpSllfZzV3 https://t.co/0X8nv85n1b",2
26,"RT @townhallcom: ""Give President Donald Trump four more years. Give us a Republican Congress to take that gavel from Nancy Pelosi. We will show you what a land of opportunity looks like."" -- @RepTomRice https://t.co/NV3KjRQlcf",2
27,"RT @marceelias: The President just committed a felony.👀
https://t.co/kgvMOCJYfz",2
28,"The Department of Justice is not the President’s personal law firm. This is totally outrageous and un-American. https://t.co/qyQfCljM9Q QUOTE @nytimes: Breaking News: The Justice Department wants to take over President Trump’s defense in a defamation suit from E. Jean Carroll, who said he raped her in the 1990s. https://t.co/oscfoz9e1i",2
29,"Max Kellerman's comments about the SEC, especially coming from a reporter at ESPN, seem quite unhinged considering SEC teams and teams from SEC states have won the national championship every year but 1 for the last 15. 🤷‍♂️ https://t.co/KZQhU5SWBq",2
30,"Contrary to some public opinion I am not buying the #Mets.
#NewYorkCity https://t.co/ONhCaU8Ets QUOTE @Bachscore: Steven Cohen is buying the Mets for between $2.4 and $2.5 billion, a record for a North American sports franchise: 

https://t.co/Pqecv8ldJN",2
31,"This is horrifying &amp; if true, one of the darkest moments in American history. There is no justification for this abuse anywhere in the world, especially in America. There needs to be an immediate investigation by the @DHSOIG and Congress. ICE needs to provide answers immediately. https://t.co/uKFwJ8QmLv QUOTE @guardian: Ice detainees faced medical neglect and hysterectomies, whistleblower alleges https://t.co/UMBdzwmnwI",2
32,"As I expressed in my letter to Sec. Mnuchin, any deal between Oracle and ByteDance that fails to address national security concerns should be rejected. The Chinese Communist Party uses platforms like #TikTok for propaganda or espionage.
https://t.co/Mh7PNsLyEl",2
33,"RT @RepCohen: In #Trump’s America, NOT dismantling the #USPS counts as a positive step. But sorting machines have already been removed in #Memphis/across the country, and we need them back. As I previously wrote to #DeJoy, he needs to reverse the damage he’s done! 

https://t.co/0Hn4cDdDRD",2
34,"So let me get this straight - Speaker Pelosi is now talking about impeaching @realDonaldTrump should he follow his Constitutional duty to nominate a Supreme Court Justice? This is one word: insane.
https://t.co/WmXB0dE0x9",2
35,"This is an absolute travesty. This wasn’t endangerment, it was murder. Breonna Taylor deserves justice. #BlackLivesMatter https://t.co/iqNdDANJxc QUOTE @Yamiche: Former Louisville Metro Police Department Detective Brett Hankison has been charged with three counts of first-degree wanton endangerment by the grand jury in the fatal shooting of Breonna Taylor. 

No other officer has been charged at this time.",2
36,"MISSING: Facts
 - Project ballooned, tripled in cost. 
 - Delayed by years.
 - Private investors fled. 
 - Reneged on ""privately funded"" promise: now seeking billions in federal subsidies &amp; loans w/taxpayers on the hook. 
 - Harms rural TX environment. 
 
 https://t.co/qc6U6ue3eo",2
37,"Disgraceful. Democrats continue their assault on law enforcement, making clear they are more interested in standing with the radical Left than protecting the rights and lives of people in Texas and across the country.
 https://t.co/zQTYbBQtJ6",2
38,Texas coronavirus cases and hospitalization continue to decline; more than 600K have recovered. https://t.co/6iFVKIILs1,2
39,"Facebook will “temporarily demote” content... AKA “suppress Republican, pro-Trump rhetoric.” Lets just call it was it is - biased censorship.

Big Tech's day of reckoning is coming - QUICK.

#Section230 must go! https://t.co/phSV4HXYiO",2
40,"A cover-up is usually not a strong indicator of innocence. The White House's justification for aiding Saudi Arabian military action in Yemen has always been weak. Now, we know that they have also attempted to bury the facts about civilian deaths. https://t.co/XGSpA4RQC6",2
41,"Yet again Governor Northam restricts public and private gatherings in a move surely to negatively impact families during the holidays, church attendance, and small businesses that are just now recovering from economic devastation caused by prior shutdowns. https://t.co/IkjUN8DnCF",2
42,I love the fact that the Trump Administration is putting an end to showerhead tyranny! Why should this be a federal regulation in the first place?  https://t.co/ew9vf8pRap,2
43,"Not testing for COVID-19 doesn't make it go away. And not studying climate change will not stop the climate crisis, but it will limit our ability to respond and help communities adapt. We must defend @NOAA's scientific integrity.
https://t.co/FtpuHXduKQ",2
44,"President Trump's attempt to wreck the Postal Service—like his previous action with the census and Ken Paxton’s with regard to the rights of those under 65 to vote by mail—is simply an attempt to intimidate.

(1/2) https://t.co/yuUAaJo13g",2
45,"We cannot withstand another shutdown. If the U.S. is going to ever make a full recovery and move forward as a prosperous nation, our economy must continue to open.


President @realDonaldTrump knows that. https://t.co/WvoZh95SS8",2
46,"RT @RepLloydDoggett: ""Rep. Lloyd Doggett (D-T.X.) slammed Moderna for selling its vaccine back to the government even after the company got federal money for the vaccine’s development.

‘For Moderna, the first billion was just not enough.'""

🚨 More from @Forbes 🚨 :
https://t.co/sX6DheebBs",2
47,"Today, #SCOTUS will hear oral arguments of a case threatening to strike down the Affordable Care Act. This would be especially harmful as the COVID-19 pandemic devastating our nation. We must work to improve health benefits, rather than reduce them. https://t.co/hmPp0oIEEO",2
48,"A new model predicts a chilling range of U.S. deaths from COVID-19. Even as Trump ceaselessly ridicules mask wearing—an important tool to fight the spread. Good governance would save lives.
https://t.co/FiI3pGz9zz",2
49,"Combined with years of Trump regulatory rollback, the coronavirus toll at nursing homes—including some in San Antonio and Austin—is truly shameful. https://t.co/D88zZ2uTpg QUOTE @RepLloydDoggett: So much of the tragic suffering and death in nursing homes could have been prevented.

Trump’s failure to act promptly, secure our supply chain, + issue consistent national guidance has left us far behind.

https://t.co/E08dlArMCC",2
50,"As Democrats have been trying since May to pass meaningful, comprehensive relief—addressing things like child care and rent relief that American families desperately need—this has been the block we face over and over again. Vote them out! https://t.co/FrJTeH1mwr QUOTE @nytimes: Senator Mitch McConnell told Republicans he has advised the White House against striking a stimulus deal with Democrats before the election.
https://t.co/GxQJojOCbl",2
51,"Pleased to see San Antonio’s census response rate has increased, despite Trump's efforts to confuse and undermine its importance. However, the census remains a top priority.
More info: https://t.co/ZKTSOySOKa",2
52,"Rest assured, every single critic who attacked me for correctly crediting America’s political success as a republic, not a democracy, supports counter-democratic checks and balances on majorities he disagrees with. https://t.co/1FLUvIjyva",2
53,"🚨Trump touts, as “granddaddy of them all,"" a drug pricing order he never signed. He promises immediate action he never took, though it wouldn't actually have lowered pharmacy counter charges. Big Pharma hikes prices as Trump tweets lies &amp; broken promises. https://t.co/Ue5y4OmLHR",2
54,"""Voters [in California] last Tuesday rejected a referendum that would have allowed racial preferences in state hiring and college admissions, defeated a massive business property tax hike, and rescued tens of thousands of gig economy jobs. What is this, Texas?"" @WSJ",2
55,"Biden and the Democrats have openly pledged to eliminate fossil fuels and ban fracking. Their radical policies would:
-Eliminate millions of jobs
-Increase household energy costs by billions
-Cost our economy trillions https://t.co/ddkNZGfvIu https://t.co/YuSWFHd1qD QUOTE @BreitbartNews: CLAIM: Joe Biden claimed in Pittsburgh, Pennsylvania: “I am not banning fracking.”

VERDICT: MOSTLY FALSE. Biden has promised to ban fracking — repeatedly — as has his running mate. https://t.co/CnXYzprPaT",2
56,Biden's energy plan could wipe out 5M blue-collar jobs https://t.co/BQ7M9zGnAX #FoxBusiness,2
57,"China’s objective is nothing short of global domination. Yet many on the world stage, including at the United Nations, turn a blind eye to #China’s barbaric behavior and aggression. That is not the case in the United States. We must and will respond.
https://t.co/4piZ6PKd6c",2
58,"Disgraceful that not a single Democrat has the courage to acknowledge the truth: that #Antifa is a domestic terrorist organization.
https://t.co/lW2l1DSAqb",2
59,"During the deadliest global pandemic of our generation, @GovAbbott should be looking for ways to increase access to the ballot box -- including drop boxes.

This has absolutely nothing to do with election security and everything to do with voter supression. https://t.co/bKESQJFmIl QUOTE @abc7breaking: Gov. Greg Abbott says the number of locations where Texas voters can drop off their mail-in ballots has been reduced to ensure poll security. https://t.co/PrA7lBhdul",2
60,"Finally, DHS lists extremist groups, like white supremacists. I introduced 2 pcs of legislation to 1. Detect threats through use of information sharing w/ law enforcement. 2. Provide law enforcement w/ the tools necessary to charge acts of domestic terror.https://t.co/pHDjwep9LE",2
61,"Hundreds of thousands of Texans work in the oil and gas industry. Good paying jobs that put food on the table.

Washington politicians want to wipe out this industry that has already suffered greatly during this pandemic.

I won’t let that happen.
https://t.co/0cEDImVAh5",2
62,"It is very clear Democrats intend to pack the courts if they win.  

The stakes in this election couldn't be higher. https://t.co/W395M7n3Xx QUOTE @thehill: Democratic Delaware senator says he is open to expanding the Supreme Court https://t.co/KtVyVbCuwh https://t.co/rTecJrAqDw",2
63,"More $ from my opponents recruiters and donors in DC, NY and California. https://t.co/O8GrYdZ5uj QUOTE @PatrickSvitek: News: Dem super PAC @MajorityPAC is making big late play in Texas

$8.6M TV buy against @JohnCornyn 

https://t.co/HFpbkUamSS #TXSEN",2
64,"RT @GLFOP: .@JoeGamaldi dismissed @JoeBiden’s suggestion as ""completely ridiculous, ""unrealistic"" and a ""pandering talking point."" 

""Shootings are dynamic situations and we shoot to stop the threat... It's incredibly difficult to hit a moving target."" https://t.co/4iPAgrvz7Y",2
65,"RT @HouseDemWomen: This report is alarming, and emphasizes the need for stronger Title IX protections. Children should be concerned about their grades and upcoming tests, not about sexual violence, at school. 

https://t.co/AAR7RrNsOo",2
66,"RT @JonathanTurley: Markey’s comments are deeply insulting to the many citizens, judges, and professors who hold originalist views.  It is further evidence of the creeping irrationality in this age of rage where it is not enough to disagree with others on legal questions. https://t.co/Yy3khcVVce",2
67,"RT @NikkiHaley: The left manipulated a video of @JohnJamesMI and then launched a coordinated attack, saying he wouldn't “do the work” if elected. It’s unacceptable. Here is what he actually said. Donate to support his
campaign here: https://t.co/5wJRdjjwDA https://t.co/8wOjxcODy8",2
68,RT @travisconsidine: Governor @GregAbbott_TX and Senator @JohnCornyn release joint statement condemning @JoeBiden’s radical oil &amp; gas plan that would take billions of dollars away from Texas schools and universities. #txsen https://t.co/8SQxtKPO0r,2
69,"RT @WaysandMeansGOP: Don’t be fooled. Joe Biden wants to raise your taxes. 
https://t.co/dNs8ZSji1U",2
70,"The media has kicked off their smear campaign against Amy Coney Barrett, starting with religion. https://t.co/13Tp29GmQH QUOTE @AP: The close ties of Judge Amy Coney Barrett, President Trump's Supreme Court nominee, with the conservative religious group People of Praise are drawing scrutiny. The group views men as divinely ordained as the ""head” of the family. @MBieseck @MRSmithAP https://t.co/viBnKAK2ir",2
71,"There has been a lot of confusion &amp; misinformation being spread about the USPS. 

We can all agree that there should be a legitimate bipartisan conversation on how to make the USPS better &amp; more efficient. 

Unfortunately, Democrats are using this ""crisis"" for political gain. https://t.co/W3qXvPMVfV QUOTE @WSJopinion: Democrats should be deeply embarrassed that their leadership has embraced conspiratorial claims about the USPS. https://t.co/9p8YoFwAyP",2
72,.@BreitbartNews: Cruz: Democrats ‘care more about the woke mob’ that’s burning union halls than workers https://t.co/llFTNGe7ZN,2
73,"Biden’s out of touch energy proposal would be devastating for America’s energy producers:
❌Weakening US energy independence
❌Driving up energy costs for consumers
❌Destroying millions of blue-collar jobs
https://t.co/oQCIij8rpz",2
74,"Democrats in Congress including #JoeBiden used to support payroll tax holidays - twice while #Obama in WH. 

Now they block payroll tax forgiveness for our  essential workers - a nearly $2,500 immediate pay raise - when families need it most. 
#Politics
 
https://t.co/l65TRFqMxg",2
75,"Does @JoeBiden plan on expanding the Supreme Court if elected president?  

Voters deserve an answer to this question before the election. 

https://t.co/5O555mSf70",2
76,"Headline @HoustonChron: “Feds give green light for high-speed train to Dallas.” 

Wrong. 

Fed RR agency did NOT approve the project - only set standards for high-speed rail in U.S. 

FRA made clear: did NOT give #TCR construction or eminent domain authority - or funding.",2
77,"How many Americans are aware that we allow Chinese propaganda, paid for by the Communist party, to be taught on hundreds of our campuses? 

RT if you think that’s a bad idea.

An Important Step in the Fight to Ban Chinese Confucius Institutes
https://t.co/Eka1dOSvoi",2
78,"Joe Biden is compromised. https://t.co/4DIM36i6WO QUOTE @DailyCaller: Tony Bobulinski on Tucker says it is a ""blatant lie"" when Joe Biden says he had no knowledge of his son's business dealings:

""There was no other reason for me to be in that bar meeting Joe Biden then to discuss what I was doing with his family's name and the Chinese."" https://t.co/famy4WaxOk",2
79,"Kamala Harris sounds like a conspiracy theorist. https://t.co/yTpr5Ptxig QUOTE @AP: Kamala Harris says foreign interference, voter suppression and doubts sewn by President Trump could alter the outcome of the election. https://t.co/nAj4tOa2AD",2
80,"Maybe it is time to take our country back from the Marxist revolutionaries who are leading the violence? (1/3)
https://t.co/F3jBOc0m37",2
81,"RT @CornynResponse: This morning, @MJHegar compared Texas' oil &amp; gas industry to Blockbuster, but what she fails to grasp is Blockbuster never provided $1.2 BILLION to Texas’ K-12 schools and $1.1 BILLION to our colleges and universities annually.
 
#TXSEN #Election2020

https://t.co/hHLaNc9tqe",2
82,"RT @FWPOA: 🚨 Where is the outrage? Seattle is defunding police and paying a former human trafficker $150,000 to offer 'alternatives to policing'. #humantraffickingawareness #humantrafficking https://t.co/1raY2CFmPh",2
83,"RT @JakeSherman: PELOSI asked about the Problem Solvers Bill by the great @ESCochrane: “Read my statement.” No interest in even dignifying it with a response. Quickly moves to “any other questions?""",2
84,"RT @mattdizwhitlock: ""Looks like Thom Tillis was re-elected at this point.” -Top @CalforNC strategist Morgan Jackson.

So why won't Cunningham concede and put this to rest? Makes no sense at all. 

@DevanB any explanation? #ncpol #NCsen 

https://t.co/dPomyptKs2",2
85,"She also owns a car, a home and a phone.  

I'm confident she could rule fairly on all of those industries. https://t.co/bM2WBHTBiO QUOTE @CNNPolitics: Amy Coney Barrett says she owns a gun, but could fairly judge a case on gun rights https://t.co/OvxljdmxJe https://t.co/czu8cE0nNj",2
86,"Strongly disagree.  

Many two-earner families are now one-earner families, struggling to make ends meet. For a family making a combined $120k, its a savings of nearly $2,500 this fall. 

Congress shld forgive taxes thru HR8201. Dems did twice w/#Obama. 

https://t.co/ZrnP6WWfdh",2
87,The @NYTimes fact checkers actually showed up to work for once. https://t.co/n9MNo92gPe,2
88,"The #CCP wants to destroy US ENERGY. They'll go through whatever channels needed to do it.

We can't let that happen. Read more about my call for an investigation into their scheme to finance 'green' political organizations:

https://t.co/ibBbmHirFR",2
89,"US: revokes visas for legitimate security and intellectual property risks.  

CCP: This is ""political persecution and racial discrimination.""

Also CCP: ~1M ethnic Uighurs in concentration camps, ongoing political persecution in Hong Kong and against Falun Gong. https://t.co/rucMb5zddG QUOTE @CNN: More than 1,000 Chinese nationals have had their visas revoked by the United States since June, under a program aimed at graduate students and researchers believed to have ties to the Chinese military. https://t.co/Nia5P2SuFt",2
90,"Why did @JoeBiden lie about his involvement with his son’s foreign business dealings?

https://t.co/C460PdeuUW",2
91,"Yesterday’s reports of annexation being ""off the table"" cannot be taken at face value. 

""The Trump administration requested to temporarily suspend the announcement of annexation"" – suggesting that, per usual, they are lying and cannot be trusted. https://t.co/liENkIlpBG",2
92,DOJ going to court to fight for the rights of churches and worshipers. This is overdue. The Constitution does not allow government at any level to treat churches &amp; synagogues WORSE than bars &amp; casinos https://t.co/ZYpdIccjDg QUOTE @realDailyWire: DOJ Supports Capitol Hill Baptist Church In Lawsuit Against D.C. Mayor https://t.co/YjqNovOJHy https://t.co/umLmleamyU,2
93,"While the president actively seeks to dismantle the ACA, which includes protections for people with pre-existing conditions, his plan is to replace it with…a meaningless executive order doing the same thing? Ridiculous and hypocritical. #ProtectOurCare https://t.co/eORQeUdUPX",2
94,"I hope most Marylanders are asleep at this hour, but I’m headed to the Senate floor now in a last-ditch effort to warn the GOP not to abuse their power to pack the Court, destroy the ACA, and overturn key constitutional rights. There will be a reckoning. If you’re awake tune in: https://t.co/3OsfJPQGMb QUOTE @cspan: U.S. Senate: Debate &amp; Procedural Vote on #SCOTUS nominee Judge Amy Coney Barrett - LIVE on C-SPAN2 https://t.co/4x0qZJhUfx https://t.co/vLWqwRIUaK",2
95,"Yet another example of why Trump &amp; Republican senators are working hard to steal this Supreme Court seat: they want to hand the Court to extremists &amp; undermine our democracy. The judiciary absolutely should not approve the Trump administration's efforts to corrupt the Census. https://t.co/r7JkRA91pG QUOTE @SCOTUSblog: JUST IN: The Supreme Court has granted an emergency request from the Trump administration, allowing it to end the 2020 census count early. Justice Sotomayor dissents: https://t.co/JtdT32WPgY

Here's our earlier story explaining what's at stake in the case: https://t.co/1mLVEAyATW",2
96,"The president’s assault on our nation’s patriotic, hardworking civil servants continues.

This time, he’s aiming to make it easier to fire nonpartisan federal workers and replace them with family members, political operatives and other Trump cronies. https://t.co/Yqp6OR59Fa",2
97,Trump &amp; his right-wing buddies are desperate to overturn the ACA &amp; turn back the clock on reproductive rights. Amy Coney Barrett is their ideal nominee. Read my @TheCut piece on why we can’t sit back while abortion &amp; birth control access are on the line. https://t.co/zEE1LqHG0V,2
98,"It is wildly irresponsible for Trump to dismiss and contradict the guidance of our country’s public health experts during a public health emergency. He continues to disparage science for political purposes but his actions have serious, deadly consequences. https://t.co/TITEdQ52UL",2
99,Every one of them is a traitor to conservative values and I question whether they were ever Republicans to begin with. Endorsing the party of infanticide who wants to strip us of our God-given right to defend ourselves is simply disgusting. Good riddance! https://t.co/x7uTCs4aMT,2
100,"We need transparency and accountability, and the Department of Justice has given us no confidence that this is the best deal they could get from a family that is responsible for ending hundreds of thousands of American lives. 

https://t.co/7JudHBbrbD",2
101,"Further proof of how politically corrupt Trump’s Department of Justice has become. Our country’s Attorney General should be focused on voter protection, not suppression and intimidation.
https://t.co/l6qf7LUSN8",2
102,"This is outrageous. We MUST restore voting rights to the millions of Americans who have completed their sentences. I'm a proud cosponsor of the Democracy Restoration Act and will continue to fight until we end this systemic voter disenfranchisement. 

https://t.co/FKed4IuzXD",2
103,"I've had my fair share of disagreements with Secretary Esper, but his firing today by President Trump is cause for serious concern.

Our troops deserve stable, rational leadership during this important transition. That's not what this decision delivers. https://t.co/EKwyMP92yZ QUOTE @AP: President Trump's firing of Defense Secretary Mark Esper is an unprecedented move by a president struggling to accept election defeat and angry at a Pentagon leader he believes wasn't loyal enough. 

https://t.co/rLTw00GD8L",2
104,"10 days ago, Mnuchin agreed it's “reasonable” to make Trump’s payroll tax deferral optional for federal workers and the military, but he’s been silent since. The Trump Admin must stop using them as pawns and forcing them to participate in this shell game against their will. https://t.co/pR61NUkqME QUOTE @thehill: Lawmakers step up push for administration to make payroll tax deferral optional for federal workers https://t.co/8UdVse8JvU https://t.co/HS4si7DxTF",2
105,"And for AG Barr to question the legality of absentee voting is incredulous. @POTUS mails in his ballot. Many states have been doing this for years. This isn't new. Well, except for the part of the president &amp; AG trying to delegitimize an American election.
https://t.co/nj3bOYGK9h",2
106,"He can declare whatever he wants. It's the American people who decide the next president of this country, not Donald Trump. https://t.co/hTZ4DGvMDp",2
107,"Christopher Krebs has been leading the charge in debunking conspiracy theories and misinformation.

Firing him for doing his job is unjustified.
https://t.co/UBfqAywl2i",2
108,"The White House put out a political puff piece taking credit for ""ending the COVID-19 pandemic.” Is this a sick joke? The pandemic is getting worse. Americans are dying. And Donald Trump is incapable of leading the country through this crisis. https://t.co/4Dw6QwYFFt",2
109,But don’t believe the President’s snake oil. It most likely won’t come to pass. https://t.co/CnE7nQCTnY,2
110,"Let me get this straight:

Twitter is suppressing news about a major Biden corruption scandal.

ABC News didn't even ask Biden about the NY Post story that exposed it during his town hall.

Yet Big Tech and the media claim there's no bias against conservatives.

Give me a break. https://t.co/2LJjP2FFgi",2
111,"Mainers rely on their mail delivery for packages, medicines, &amp; their ballots so attacks on @USPS endanger democracy &amp; peoples' lives.
 
Any changes slowing mail delivery must be reversed &amp; the architect of these changes, Postmaster DeJoy, must resign now! https://t.co/Y6tYZTFMKY",2
112,"Knowing the truth of our nation’s history is critical to ensuring we can continue to become ‘a more perfect union,’ and there is nothing more patriotic than confronting the hard truths of our past. Trump’s hateful rhetoric is dangerous and irresponsible. https://t.co/UGAoGAUUJG",2
113,"Nearly 200,000 Americans are dead. 

How the hell could anyone side with a president who gutted the pandemic response team, deliberately downplayed the danger, and now holds indoor super-spreader events?

Ignore Trump. Listen to the medical professionals.
https://t.co/6cA9YM6aFy",2
114,"Speaker Pelosi has ZERO ability to use the 25th Amendment to remove President Trump.

Any legislation to create a Sec. 4 group to take his power will NOT pass Congress &amp; will prove once again it is the Speaker who is ""mentally unstable."" https://t.co/WHJDgIT1tm QUOTE @FoxNews: Pelosi set to announce bill on 25th Amendment after questioning Trump's health

https://t.co/o53k8RHoG0",2
115,"Oh please. Stop the sob story, Dr. Slaoui. This isn't about you – it's about the American people. If your $10 million (or more?) in vaccine company stock is so important that you won’t sell it off to comply with federal ethics laws, you shouldn’t be the White House Vaccine Czar. https://t.co/HxeHE672al QUOTE @CBSEveningNews: EXCLUSIVE: Pres. Trump’s vaccine czar responds to Sen. Warren’s charge that he’s potentially profiting from his role in the administration.

“You are publicly accusing me of being greedy, of being corrupt,” Moncef Slaoui says in a recording addressing Warren. “You are wrong."" https://t.co/GvVWNTOvFZ",2
116,"The disaster during this pandemic has been the President’s shameful mismanagement of this virus that has cost over 220,000 American lives, not Dr. Fauci. The President’s continuing attacks on science and scientific experts is disgraceful. https://t.co/dOBDrKObBl",2
117,"For those keeping track, Trump’s stupid new sanctions hurt:
1) American freedom to travel.
2) Everyday Cuban citizens.
3) Progress toward democracy in Cuba.

His stupid new sanctions help:
1) Hardliners in the Cuban government.
2) His re-election campaign.
https://t.co/oiinaulbRl",2
118,"As acting secretary, Chad Wolf has enabled Trump to abuse his power by weaponizing DHS and deploying secret federal agents against peaceful protestors. No surprise that Trump wants to keep him there permanently. Senate needs to vote NO. https://t.co/QKVziFw48m",2
119,The Trump Administration is putting the health of Americans and our national security at further risk by refusing to provide President-elect Joe Biden and his transition team with critical information. This obstruction must end. https://t.co/59Qjj3HJTs,2
120,"RT @WaysMeansCmte: The economy won’t recover as long as millions of Americans are living without income. @SenateGOP must pass a stimulus bill!
https://t.co/imGnHN1KQS",2
121,Trump stooge @DNI_Ratcliffe won’t give in person briefings to Congress anymore on threats to our elections because he’s worried Trump will throw a tantrum about Russia helping him get reelected. You’re supposed to keep us informed. Do your job or resign. https://t.co/gvlO3Llmg1,2
122,"Reality check: Only participants in the #IranDeal can reimpose UN sanctions on Iran, but Trump withdrew from it. The Trump Iran policy makes us less safe &amp; more isolated from our allies. Let’s rejoin the nuclear agreement &amp; get Iran back into compliance. https://t.co/sWoNX4FCPa",2
